                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0792,                 2.5379,                  1.555,                0.00333,                      1,                0.01421,                0.00368,                 2.6454,                 3.9251,                 3.3491,                      0,                      0,                      0
                      2,                 1.4867,                 2.6871,                 1.8802,                0.00333,                      1,                0.03689,                  0.008,                 2.5201,                  3.395,                  3.202,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.68334,                   1.87,                 1.2451,                0.74149,                0.96597,                 0.9125,                0.25161,                 2.2151,                 2.3061,                 3.1301,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                0.86274,                 1.4431,                 1.3666,                0.94474,                      1,                  0.995,                0.52133,                 1.8435,                 4.3432,                 3.1336,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.55145,                 1.5387,                 1.0724,                0.97924,                      1,                  0.995,                0.53107,                 1.7931,                  3.382,                 3.2801,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.58864,                0.88156,                0.98997,                0.98288,                      1,                  0.995,                0.58082,                 1.7699,                 1.2816,                 3.4125,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.83055,                0.95232,                 1.3571,                0.98308,                      1,                  0.995,                0.58661,                 1.7279,                 1.2169,                 3.5456,             0.00011287,             0.00011287,             0.00011287
                      8,                0.75723,                0.89363,                 1.3883,                 0.7091,                      1,                  0.995,                 0.5536,                 1.7464,                 2.8658,                 3.5617,              0.0001303,              0.0001303,              0.0001303
                      9,                0.55545,                0.79841,                 1.0334,                0.41207,                      1,                 0.9125,                0.50692,                 1.8173,                 6.5359,                 3.6464,             0.00014733,             0.00014733,             0.00014733
                     10,                0.54594,                0.94353,                0.99494,                      1,                0.33333,                  0.755,                0.41104,                 1.8783,                 7.3065,                 3.4807,             0.00016396,             0.00016396,             0.00016396
                     11,                0.58562,                 1.1557,                 1.1111,                  0.387,                0.63779,                0.31344,                0.12793,                 1.7139,                    3.4,                 2.7063,              0.0001802,              0.0001802,              0.0001802
                     12,                0.49159,                0.91626,                0.96124,                0.00333,                      1,                0.01551,                0.00447,                 1.7794,                 3.5933,                 3.2342,             0.00019604,             0.00019604,             0.00019604
                     13,                0.63696,                0.79116,                 1.1176,                0.00333,                      1,                0.01368,                0.00374,                 2.4293,                 3.6874,                 3.4307,             0.00021149,             0.00021149,             0.00021149
                     14,                0.65035,                 1.3115,                 1.1872,                0.11111,                0.33333,                0.05375,                0.01122,                 2.8876,                 9.4708,                 4.2249,             0.00022654,             0.00022654,             0.00022654
                     15,                0.71331,                0.88363,                 1.0068,                0.05484,                0.33333,                0.18531,                0.01921,                 4.5265,                 40.387,                 5.0132,             0.00024119,             0.00024119,             0.00024119
                     16,                0.61493,                 1.4455,                 1.0865,                 0.0402,                0.33333,                0.02275,                0.00496,                 4.8911,                 12.249,                 6.0373,             0.00025545,             0.00025545,             0.00025545
                     17,                0.67834,                 1.3823,                  1.215,                0.15404,                0.33333,                 0.1066,                0.01156,                 4.5968,                 11.008,                 6.2333,             0.00026931,             0.00026931,             0.00026931
                     18,                0.41298,                 0.9664,                0.87512,                0.15404,                0.33333,                 0.1066,                0.01156,                 4.5968,                 11.008,                 6.2333,             0.00028278,             0.00028278,             0.00028278
                     19,                 0.7392,                 1.1768,                 1.2572,                0.12243,                0.33333,                0.10862,                0.02434,                  3.779,                 13.477,                  5.027,             0.00029585,             0.00029585,             0.00029585
                     20,                0.68464,                0.91733,                 1.2787,                0.12243,                0.33333,                0.10862,                0.02434,                  3.779,                 13.477,                  5.027,             0.00030852,             0.00030852,             0.00030852
                     21,                0.60637,                0.84546,                 1.0822,                      1,                0.33333,                0.73571,                0.15268,                 2.7097,                 34.435,                 4.6693,              0.0003208,              0.0003208,              0.0003208
                     22,                0.64103,                0.73294,                0.96069,                      1,                0.33333,                0.73571,                0.15268,                 2.7097,                 34.435,                 4.6693,             0.00033268,             0.00033268,             0.00033268
                     23,                 0.5005,                 1.0198,                 1.0809,                0.66667,                0.66667,                  0.654,                0.17101,                 2.4273,                 45.399,                 5.0885,             0.00034417,             0.00034417,             0.00034417
                     24,                0.84496,                 1.5318,                 1.2343,                0.66667,                0.66667,                  0.654,                0.17101,                 2.4273,                 45.399,                 5.0885,             0.00035526,             0.00035526,             0.00035526
                     25,                0.72924,                0.92646,                 1.2117,                      1,                      1,                  0.995,                 0.4016,                 2.3154,                 36.448,                 4.6319,             0.00036595,             0.00036595,             0.00036595
                     26,                0.67903,                 1.7567,                 1.1847,                      1,                      1,                  0.995,                 0.4016,                 2.3154,                 36.448,                 4.6319,             0.00037625,             0.00037625,             0.00037625
                     27,                0.70119,                 1.1641,                 1.2416,                0.14926,                      1,                0.55211,                0.15445,                 2.0518,                 19.156,                  3.948,             0.00038615,             0.00038615,             0.00038615
                     28,                0.83394,                 1.2876,                 1.3503,                0.14926,                      1,                0.55211,                0.15445,                 2.0518,                 19.156,                  3.948,             0.00039566,             0.00039566,             0.00039566
                     29,                0.61541,                0.89351,                  1.115,                0.10068,                      1,                  0.995,                0.44481,                 1.7923,                 15.527,                 3.9412,             0.00040477,             0.00040477,             0.00040477
